Geo_FIPS,Geo_Name,Geo_QName,SE_T003_001,SE_T003_002,SE_T003_003
"34001","Atlantic County","Atlantic County, New Jersey",3337.10016750906,386.978623518853,2950.1215439902
"34003","Bergen County","Bergen County, New Jersey",1135.74528799064,82.0504470999559,1053.69484089069
"34005","Burlington County","Burlington County, New Jersey",1674.36772050289,168.993289187543,1505.37443131535
"34007","Camden County","Camden County, New Jersey",3028.93326915024,467.871273760464,2561.06199538978
"34009","Cape May County","Cape May County, New Jersey",3954.10303742239,241.231750293673,3712.87128712871
"34011","Cumberland County","Cumberland County, New Jersey",4408.82145512075,512.742313630559,3896.07914149019
"34013","Essex County","Essex County, New Jersey",2952.28364644481,646.204772263715,2306.07887418109
"34015","Gloucester County","Gloucester County, New Jersey",2291.79483830611,114.108561235397,2177.68627707071
"34017","Hudson County","Hudson County, New Jersey",1952.57915306039,359.728895630796,1592.85025742959
"34019","Hunterdon County","Hunterdon County, New Jersey",695.66183061388,45.2140528449158,650.447777768964
"34021","Mercer County","Mercer County, New Jersey",2165.06027663463,347.744639161106,1817.31563747352
"34023","Middlesex County","Middlesex County, New Jersey",1600.50795351412,155.925466670334,1444.58248684379
"34025","Monmouth County","Monmouth County, New Jersey",1832.2556449524,143.338646292026,1688.91699866037
"34027","Morris County","Morris County, New Jersey",994.543020489187,61.6336519739778,932.909368515209
"34029","Ocean County","Ocean County, New Jersey",1666.37955589365,100.801465458868,1565.57809043478
"34031","Passaic County","Passaic County, New Jersey",2208.67986227931,394.217617557816,1814.46224472149
"34033","Salem County","Salem County, New Jersey",2486.28602333308,264.235494089469,2222.05052924361
"34035","Somerset County","Somerset County, New Jersey",1205.76844434822,60.1380770248491,1145.63036732337
"34037","Sussex County","Sussex County, New Jersey",986.136126810619,51.756619671656,934.379507138963
"34039","Union County","Union County, New Jersey",2230.62580139943,376.171693441772,1854.45410795766
"34041","Warren County","Warren County, New Jersey",1433.82249782542,72.9537865821151,1360.8687112433
"34999","Not allocated","Not allocated, New Jersey",,,
