X,Y,OBJECTID,BUS_TYPE,BUS_NAME,BUS_ADDRESS,ST_NAME,NBRHD,SUBREGION,MATCH_ADDR,BUS_URL,LON,LAT,GLOBALID
516888.651108924,700277.814891189,111,Food,Sugarlips Donuts,"145 Main St, Madison, NJ 07940",Main,Madison,Morris,"145 Main Street, Madison, NJ, 07940",https://www.sugarlipsdonuts.com/,-74.41060755,40.75588801,a66d8cfb-20d6-4233-b903-f83ab908c85b
515302.339977093,701682.046990857,112,Shopping,The Nature of Reading Bookshop,"22 Main St. Madison, NJ 07940",Main,Madison,Morris,"22 Main Street, Madison, NJ, 07940",https://www.thenatureofreading.com/,-74.41632902,40.75974693,0c4d87d5-05d5-4cda-958e-fef828ea7af6
515486.297286343,701534.667364359,113,Shopping,The Pink Pear,"42 Main Street , Madison, NJ 07940",Main,Madison,Morris,"42 Main Street, Madison, NJ, 07940",https://shopthepinkpear.com/,-74.41566544,40.75934189,562776a8-1267-4fc1-86c6-0010c1f19bb1
514992.55778826,701512.289128274,114,Café,Sunday Motor Co Café,"27 Kings Road Madison, New Jersey 07940",Kings,Madison,Morris,"27 Kings Road, Madison, NJ, 07940",https://www.sundaymotorco.com/,-74.41744792,40.75928175,34ec594a-0aac-4b24-8814-dc4eb4e1d77f
516516.339517593,701072.070520528,115,Food,Madison Market,"17 Greenwood Ave, Madison, NJ 07940",Greenwood,Madison,Morris,"17 Greenwood Avenue, Madison, NJ, 07940",https://madisonmarket.com/,-74.41194865,40.75806928,539ccde2-a06e-4374-988b-a1c822730603
515235.20100376,701851.734971687,116,Food,Tino's Artisan Pizza Co,"6 Main Street Madison, NJ 07940",Main,Madison,Morris,"6 Main Street, Madison, NJ, 07940",https://madison.nojunkpizza.com/,-74.41657081,40.7602129,c0f57195-bde7-4aca-8fe0-88480f228f9a
515653.598132841,701396.962259188,117,Shopping,The Blue Purl,"60 Main St. Madison, NJ ",Main,Madison,Morris,"60 Main Street, Madison, NJ, 07940",https://www.thebluepurl.com/,-74.41506196,40.75896344,a655f4a5-3b24-444e-82f6-82b3b1cba3c0
515622.529625427,701421.198103108,118,Food,54 Main Bar & Grille,"54 Main St
Madison, NJ 07940",Main,Madison,Morris,"54 Main Street, Madison, NJ, 07940",https://www.54mainst.net/,-74.41517403,40.75903005,7f40c984-7553-453a-bf65-45b49e1b17af
610877.191806011,552970.79684177,119,Shopping,Red Bank Antique Center,195 West Front Street,West Front,Tinton Falls,Monmouth,"195 West Front Street, Red Bank, NJ 07701",https://www.antiquecentersofredbank.com/,-74.07390181,40.3507644,a7e5a020-204d-426f-818a-ccf6b6a5d6e5
619314.329459261,698288.050169937,120,Food,Prato Bakery,296 Palisade Avenue,Palisade,Jersey City,Hudson,"296 Palisade Avenue, Jersey City, NJ 07307",https://pratobakery.com/,-74.04091309,40.74954766,e7f9810d-aa21-4246-a99d-d68131d0bf31
610540.614067093,553079.91046869,121,Shopping,Red Bank Antique Center,226 West Front Street,West Front,Tinton Falls,Monmouth,"226 West Front Street, Red Bank, NJ 07701",https://www.antiquecentersofredbank.com/,-74.07510759,40.35106837,3e6d2e1e-ad2d-4544-9f46-7b1006558bbb
